rt_seq_hash	family	n_genomes	n_species	n_genera	n_source_databases	n_physical_loci	unit	denominator
6cad0c62bed7846358ecc20d06e4a0c3d8a38bc27de0b94f72f859b990306f95	Retron	1908	6	2	3	1881	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
87b30ca877e5a1058fec8a367b1ffd42d5c5877d765bcb159e9ff2f6a5ae0438	RVT-GII	1898	1	1	2	1806	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
d0457d3dd1d7308ca2013d8b463428842ea7f5c7ee79c003edf3427ac4feb33f	RVT-GII	1885	1	1	1	1885	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
3667db8dc9b8217013489878fd985bc306106a3a39171b6ca3529431e6cd8c46	RVT-GII	1880	5	2	3	1657	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
3d3008975242e38a9b4a92c555534f1521629fad82de00614281767ee109a831	RVT-GII	1864	1	1	2	1860	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
ad2b7073c7a53ac21c1c43b0dc5ad0d8aeffaa2a4c12ef643d9587460676fc30	RVT-GII	1858	13	8	4	1666	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
bdf46f15c19ff1204f54615264db299302ba4e20c046b950e426bbec0be7f047	RVT-GII	1832	1	1	2	1830	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
3d5782dc11754ced2e0a82088b6da61a11f72c391cb3dc456d10552aa690b6d1	Retron	1829	7	3	4	1750	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
cc32c44ebf4e77be14d884c9c4a26476913adfe938cacf52a144158c0b5cc259	RVT-GII	1823	1	1	2	1822	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
aace30d974ace76530a1948e05f554f1e6eb68baf5e1c7d53633fa415f5474be	RVT-GII	1792	2	2	2	1591	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
7beec7d9130293a9550d1b51d112d1dee17983a3018a8cd75e4873a9bffa6727	RVT-GII	1776	141	53	4	1470	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
6bd19212a5d0611530ca67e08d4d947dfa929e0bc502ad8aeda13639ef2358f1	other	1769	14	8	4	1609	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
