rt50	type_label_modal	type_labels	loci	exact_rt	rt90	loci_per_rt90	genomes	species	genera	phyla	sources	matched_local	matched_t1	unmatched_adequate	unmatched_limited	rt90_matched_s12	rt90_unmatched_s12	rt90_unmatched_s3	cm_models	padloc_xii_loci	DENOVO_FEASIBLE_S12	DENOVO_FEASIBLE_S3
b9dbe5dc4c8838810c297a497260d01ae91624623e768da7a868743d7185107d	III-A	III-A|I-A	56	19	14	4.0	56	30	8	3	ncbi_bacteria|mgnify_human_gut|gtdb_bacteria	0	0	56	0	0	14	0		0.0	True	False
fe7a425ca8e6e12e2ece80e5a3b4782dc34d1dd70b6da546b6d5571a403ee206	VI	UNLABELLED|VI	31	19	14	2.2	31	27	14	2	ncbi_bacteria|mgnify_soil|gtdb_bacteria	0	0	30	1	0	13	0		0.0	True	False
8a7ff6e16492f4094481fc07d522443272f1c3e4f7902af5876f5143e3bcccca	III-A	III-A|UNLABELLED	87	39	15	5.8	87	35	19	4	gem|ncbi_bacteria|gtdb_bacteria|mgnify_human_gut	0	0	80	7	0	14	0		0.0	True	False
2121f0516a9cdb4448c49b9f90b39e31b7fe61bd6f33e8b78685236b824aec40	XII	XII	24	17	14	1.7	24	7	3	2	gtdb_bacteria|ncbi_bacteria	0	0	23	1	0	0	14		0.0	False	True
671b734e849b5eafa9d317142509296af643bdeec52f5d5c37995a78b5477d54	XII	I-C|UNLABELLED|XII	25	19	14	1.8	25	21	18	2	gtdb_bacteria|ncbi_bacteria|mgnify_marine|gem	0	0	25	0	0	0	12		0.0	False	True
35d3fd30ffa11912af3824d3f58d29e27d1b91de5825b0e53291a5851ff9c208	III-A	III-A	64	18	14	4.6	64	27	10	2	ncbi_bacteria|gtdb_bacteria|gem	0	0	64	0	0	14	0		0.0	True	False
2ae403f71647b0c5129a4247feba44b0eff133851bfab35cc8c3f66b66496157	VI	UNLABELLED|VI	24	14	13	1.8	24	21	10	2	ncbi_bacteria|gtdb_bacteria	0	0	24	0	0	11	0		0.0	True	False
e3d46772c5692833f3fa7c3ea298c7fefe5115ec9ccade994e736e1db0bfec4d	VI	VI|UNLABELLED	42	16	14	3.0	42	21	10	3	gtdb_bacteria|mgnify_marine|ncbi_bacteria	0	0	40	2	0	11	0		0.0	True	False
3fb7c4e01d0654bedacc0c4c28b1e78f68c6cc3540adecc10e48c05e5c2c300e	XI	XI	259	33	13	19.9	259	28	8	3	gtdb_bacteria|mgnify_marine|mgnify_human_gut|ncbi_bacteria	0	0	259	0	0	0	13		0.0	False	True
c3e6707acaf442402444e0f43c47632f64eef4a69bcdca6f611b5ec882958126	III-A	III-A	57	17	13	4.4	56	21	13	2	ncbi_bacteria|gtdb_bacteria|gem|mgnify_human_gut	0	0	33	24	0	13	0		0.0	True	False
