component_id	n_pairs	n_tok	n_distinct_rt	n_distinct_ncrna	n_retron_types	n_rt_homolog_groups	cv_fold	dominant_retron_type	any_T4	any_T3	in_sensitivity_population	mean_nearest_train_rt_cosine	relatedness_stratum	nll_per_nt_U	nll_per_nt_T	nll_per_nt_G	nll_per_nt_R	nll_per_nt_P	delta_R_minus_T	delta_R_minus_G	delta_R_minus_P	delta_P_minus_T	delta_logP_C1	n_pairs_C1	delta_logP_C2	n_pairs_C2	delta_logP_C3	n_pairs_C3	delta_logP_C4	n_pairs_C4
CMP00060	33	5810	32	19	1	3	3	TypeIIIA2	1	1	1	0.987166	Q2	1.416448	1.405701	1.405638	1.414779	1.417883	0.009078	0.009141	-0.003104	0.012182	0.005555	33	0.007706	30	-0.003982	33	-0.000317	32
CMP00061	33	5839	31	10	1	7	1	Ec107_like	1	1	0	0.981928	Q3	1.428826	1.452426	1.416177	1.403862	1.412907	-0.048564	-0.012315	-0.009045	-0.039519	0.053963	33	0.058008	21	0.000718	33	0.000368	25
CMP00062	33	5338	32	15	1	4	2	TypeIB2	1	1	0	0.994348	Q4	1.431107	1.302557	1.36975	1.357254	1.342048	0.054697	-0.012496	0.015206	0.039491	0.0054	33	-0.000673	32	0.000373	33	0.001839	27
CMP00063	33	5546	33	32	1	5	4	TypeIA_IIAI	0	0	0	0.989307	Q3	1.408105	1.421384	1.352761	1.342673	1.317741	-0.078711	-0.010088	0.024932	-0.103643	0.024172	33	0.021889	33	-0.00181	33	0.000417	33
CMP00064	32	7089	27	17	1	4	3	Ec107_like	1	1	0	0.981737	Q1	1.392357	1.410002	1.400541	1.348805	1.373234	-0.061197	-0.051736	-0.024429	-0.036768	0.029853	32	0.01268	29	-0.002492	32	-0.001313	29
CMP00065	32	9841	29	23	1	2	1	TypeIIIA3	1	1	0	0.9904	Q4	1.416325	1.402863	1.393897	1.391255	1.399968	-0.011608	-0.002642	-0.008713	-0.002895	0.033881	32	0.034313	32	0.000746	32	0.004876	32
CMP00066	32	5255	31	31	1	1	2	TypeIA_IIAI	0	0	1	0.989741	Q3	1.425723	1.364951	1.396216	1.386011	1.403544	0.02106	-0.010205	-0.017533	0.038593	0.004764	32	0.003461	32	0.000656	32	0.000303	32
CMP00067	31	5855	31	25	1	1	4	TypeV	1	1	0	0.993547	Q4	1.384309	1.711097	1.541508	1.356103	1.339214	-0.354994	-0.185405	0.016889	-0.371883	0.001489	31	-0.000568	31	-0.002701	31	-0.001175	31
CMP00068	31	4837	31	29	1	2	3	TypeIA_IIAI	0	0	0	0.989682	Q3	1.437811	1.416516	1.403391	1.389905	1.401159	-0.026611	-0.013486	-0.011254	-0.015357	0.005186	31	0.002533	31	-0.000225	31	0.003059	31
CMP00069	31	4089	31	30	2	4	1	OutgroupA	1	1	0	0.9858	Q2	1.376382	1.345448	1.347215	1.331787	1.359913	-0.013661	-0.015428	-0.028126	0.014465	0.006162	31	0.006535	31	0.00124	31	0.005435	29
CMP00070	30	6077	29	19	1	3	2	TypeIIIA2	1	1	0	0.989674	Q4	1.42388	1.341685	1.351556	1.334275	1.344793	-0.00741	-0.017281	-0.010518	0.003108	0.011178	30	0.008734	24	-9e-05	30	-0.003365	29
CMP00071	30	4692	28	21	1	4	4	TypeIA_IIAI	0	1	0	0.986618	Q3	1.378625	1.373863	1.32551	1.318172	1.419313	-0.055691	-0.007338	-0.101141	0.04545	0.015258	30	0.015951	24	0.001781	30	0.002868	26
