cohort	set_id	arm	expected_cov	observed_cov	avgid	n
PIL	PIL_S5_SEQONLY_3	B_SEQ_CACOFOLD	2.5	0	33.14	6
PIL	PIL_S5_SEQONLY_3	B_STRUCT_CACOFOLD	1.3	1	25.42	6
PIL	PIL_S5_SEQONLY_4	A_SPIRE	0.8	1	77.04	5
PIL	PIL_S5_SEQONLY_4	B_SEQ_CACOFOLD	0.6	1	77.57	5
PIL	PIL_S5_SEQONLY_4	B_STRUCT_CACOFOLD	0.9	1	77.04	5
PIL	PIL_S5_SEQONLY_5	A_SPIRE	1.5	0	61.51	7
PIL	PIL_S5_SEQONLY_5	B_SEQ_CACOFOLD	1.8	0	62.7	7
PIL	PIL_S5_SEQONLY_5	B_STRUCT_CACOFOLD	1.8	0	61.51	7
POS	POS_I-A_1	A_SPIRE	2.0	2	48.16	6
POS	POS_I-A_1	B_SEQ_CACOFOLD	2.6	0	58.02	6
POS	POS_I-A_1	B_STRUCT_CACOFOLD	2.0	3	48.16	6
POS	POS_I-A_2	A_SPIRE	5.5	6	52.49	15
POS	POS_I-A_2	B_SEQ_CACOFOLD	7.0	3	57.46	15
POS	POS_I-A_2	B_STRUCT_CACOFOLD	5.4	6	52.49	15
POS	POS_I-A_3	A_SPIRE	0.8	0	60.86	5
POS	POS_I-A_3	B_SEQ_CACOFOLD	0.9	0	61.38	5
POS	POS_I-A_3	B_STRUCT_CACOFOLD	0.5	0	60.86	5
POS	POS_I-B_1	A_SPIRE	0.0	0	99.56	6
POS	POS_I-B_1	B_SEQ_CACOFOLD	0.0	0	99.56	6
POS	POS_I-B_1	B_STRUCT_CACOFOLD	0.0	0	99.56	6
POS	POS_I-B_2	A_SPIRE	5.6	6	35.9	17
POS	POS_I-B_2	B_SEQ_CACOFOLD	22.8	0	43.7	17
POS	POS_I-B_2	B_STRUCT_CACOFOLD	16.1	6	35.9	17
POS	POS_I-B_3	A_SPIRE	7.7	4	31.51	18
POS	POS_I-B_3	B_SEQ_CACOFOLD	25.7	0	45.59	18
POS	POS_I-B_3	B_STRUCT_CACOFOLD	10.4	4	31.51	18
POS	POS_I-C_1	A_SPIRE	1.4	1	49.13	7
POS	POS_I-C_1	B_SEQ_CACOFOLD	2.2	0	50.5	7
POS	POS_I-C_1	B_STRUCT_CACOFOLD	1.6	2	49.13	7
POS	POS_I-C_2	A_SPIRE	4.2	2	51.28	9
POS	POS_I-C_2	B_SEQ_CACOFOLD	10.4	0	53.9	9
POS	POS_I-C_2	B_STRUCT_CACOFOLD	4.9	2	51.28	9
POS	POS_I-C_3	A_SPIRE	2.0	6	46.72	5
POS	POS_I-C_3	B_SEQ_CACOFOLD	1.1	1	49.52	5
POS	POS_I-C_3	B_STRUCT_CACOFOLD	1.7	7	46.72	5
POS	POS_II-A_1	A_SPIRE	16.0	2	42.77	15
POS	POS_II-A_1	B_SEQ_CACOFOLD	17.1	0	54.54	15
